,method,step,range,host,mean,std
534,CF43,1e-09,"(0.1,0.2)",host#b9ec88ad,6.800116025829084e-17,0.03188703643373033
654,CF43,1e-09,"(0.1,0.2)",host#e0324c47,1.033895191682177e-16,0.040200303484629094
774,CF43,1e-09,"(0.1,0.2)",host#e739d7ed,-9.71445146547012e-17,0.055554257963477995
894,CF43,1e-09,"(0.1,0.2)",host#ea9ebc36,2.6020852139652105e-19,0.0154294967927313
1014,CF43,1e-09,"(0.1,0.2)",host#fe823726,9.54097911787244e-19,0.03747321380409493
94,CF43,1e-09,"(0.1,0.3)",host#053336e2,-1.2802259252708836e-16,0.00818299375510998
214,CF43,1e-09,"(0.1,0.3)",host#2a9a8c7d,1.0581813203458523e-16,0.03307121279652716
334,CF43,1e-09,"(0.1,0.3)",host#2ea82f5c,-7.573152174811248e-17,0.07617247010837461
454,CF43,1e-09,"(0.1,0.3)",host#b1a00ec8,1.7520707107365752e-16,0.008665682474606666
574,CF43,1e-09,"(0.1,0.3)",host#b9ec88ad,-5.377642775528102e-17,0.04190285267991901
694,CF43,1e-09,"(0.1,0.3)",host#e0324c47,1.1744077932362985e-16,0.030290307784218325
814,CF43,1e-09,"(0.1,0.3)",host#e739d7ed,-1.0581813203458523e-16,0.027114654798284645
